--------- beginning of main
06-03 08:09:16.370 I/wearvian(22895): MainActivity: onCreate; requesting permissions
06-03 08:09:16.723 I/wearvian(22895): permissions result: {android.permission.BLUETOOTH_SCAN=true, android.permission.BLUETOOTH_CONNECT=true, android.permission.BLUETOOTH_ADVERTISE=true, android.permission.POST_NOTIFICATIONS=true}
06-03 08:09:18.866 I/wearvian(22895): refresh: enrolled=true hasKey=true bonded=true vin=7PDSGABA6PN021246
06-03 08:09:20.640 I/wearvian(22895): setPresence: true
06-03 08:09:20.771 I/wearvian(22895): PresenceService: onStartCommand
06-03 08:09:20.885 I/wearvian(22895): dbg: presence: wake lock acquired
06-03 08:09:21.398 I/wearvian(22895): dbg: presence: loop start for 7PDSGABA6PN021246
06-03 08:09:21.399 I/wearvian(22895): KeyManager: ECDH against vehiclePublicKey=04775F67AFF21A92…
06-03 08:10:40.536 I/wearvian(22895): dbg: · S4  discovered (4 svc)
06-03 08:10:40.546 I/wearvian(22895): dbg: · S2  holding (sensor presence for RSSI)
06-03 08:10:41.287 I/wearvian(22895): dbg: · S3  connecting 74:B8:39:F1:64:89
06-03 08:10:41.656 I/wearvian(22895): dbg: · S3  connected
06-03 08:10:42.051 I/wearvian(22895): dbg: · S2  connecting 74:B8:39:FA:42:83
06-03 08:10:42.180 I/wearvian(22895): dbg: · S2  connected
06-03 08:10:42.594 I/wearvian(22895): dbg: · S1  holding (sensor presence for RSSI)
06-03 08:10:43.843 I/wearvian(22895): dbg: · S3  discovered (4 svc)
06-03 08:10:43.852 I/wearvian(22895): dbg: · S2  discovered (4 svc)
06-03 08:10:44.099 I/wearvian(22895): dbg: · S1  connecting 74:B8:39:43:03:57
06-03 08:10:44.207 I/wearvian(22895): dbg: · S1  connected
06-03 08:10:45.577 I/wearvian(22895): dbg: · S4  holding (sensor presence for RSSI)
06-03 08:10:45.900 I/wearvian(22895): dbg: · S1  discovered (4 svc)
06-03 08:10:47.072 I/wearvian(22895): refresh: enrolled=true hasKey=true bonded=true vin=7PDSGABA6PN021246
06-03 08:10:47.080 I/wearvian(22895): dbg: · S4  connecting 74:B8:39:E9:77:8D
06-03 08:10:47.214 I/wearvian(22895): dbg: · S4  connected
06-03 08:10:47.940 I/wearvian(22895): setPresence: false
06-03 08:10:47.953 I/wearvian(22895): PresenceService: onDestroy
06-03 08:10:47.954 I/wearvian(22895): dbg: presence: stopping
06-03 08:10:47.965 I/wearvian(22895): dbg: · S2  holding (sensor presence for RSSI)
06-03 08:10:47.976 I/wearvian(22895): dbg: · S1  holding (sensor presence for RSSI)
06-03 08:10:47.993 I/wearvian(22895): dbg: · S3  holding (sensor presence for RSSI)
06-03 08:10:47.998 I/wearvian(22895): dbg: PK: session ended — Job was cancelled
06-03 08:10:48.000 I/wearvian(22895): dbg: S4: session ended — Job was cancelled
